Url,Size,Floor,TotalFloors,District,Year,Type,BuildingType,Price
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157468711752149&slink=5p50jf&f1=1,27,1,7,"град София, Стрелбище",2006,1-СТАЕН,Тухла,41800
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159411943712926&slink=5p50jk&f1=1,28,2,3,"град София, гр. Бухово",0,1-СТАЕН,Тухла,15190
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157649598904022&slink=5p50jk&f1=1,28,4,8,"град София, Връбница 1",2019,1-СТАЕН,Тухла,27999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157649536445701&slink=5p50jk&f1=1,28,3,5,"град София, Връбница 1",0,1-СТАЕН,Тухла,28000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159177899324000&slink=5p50jk&f1=1,28,1,6,"град София, Кръстова вада",2021,1-СТАЕН,Тухла,27990
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159497839718810&slink=5p50jk&f1=1,28,1,5,"град София, Малинова долина",2015,1-СТАЕН,Тухла,27144
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157649493427690&slink=5p50jk&f1=1,28,3,5,"град София, Надежда 2",0,1-СТАЕН,Тухла,28000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157649514024775&slink=5p50jk&f1=1,28,3,5,"град София, Надежда 3",0,1-СТАЕН,Тухла,28000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157649547922672&slink=5p50jk&f1=1,28,4,5,"град София, Надежда 4",0,1-СТАЕН,Тухла,28000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157442607682836&slink=5p50jk&f1=1,28,0,0,"град София, Студентски град",0,1-СТАЕН,Тухла,25000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158263508059882&slink=5p50jk&f1=1,28,7,8,"град София, Студентски град",2021,1-СТАЕН,Тухла,29900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159231382339134&slink=5p50jk&f1=1,28,1,6,"град София, Център",2000,1-СТАЕН,Тухла,33600
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159499724707882&slink=5p50jo&f1=1,29,0,0,"град София, Малинова долина",2020,1-СТАЕН,Тухла,27144
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159499687375279&slink=5p50jo&f1=1,29,0,0,"град София, Студентски град",2022,1-СТАЕН,Тухла,27144
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157659609219159&slink=5p50jo&f1=1,29,7,7,"град София, Бъкстон",1975,1-СТАЕН,Панел,38000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158084519570511&slink=5p50jo&f1=1,29,4,5,"град София, Малинова долина",2022,1-СТАЕН,Тухла,27990
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158470553119943&slink=5p50jo&f1=1,29,7,7,"град София, Павлово",1980,1-СТАЕН,ЕПК,37999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159460608179013&slink=5p50jo&f1=1,29,0,0,"град София, Редута",0,1-СТАЕН,ЕПК,35000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159264914952299&slink=5p50jo&f1=1,29,1,3,"град София, Център",1950,1-СТАЕН,Тухла,36500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159187993253822&slink=5p50jo&f1=1,29,2,4,"град София, Център",1950,1-СТАЕН,Тухла,36500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159144444247566&slink=5p50jo&f1=1,29,1,4,"град София, Център",1950,1-СТАЕН,Тухла,36500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159298797301467&slink=5p50jo&f1=1,29,1,3,"град София, Център",0,1-СТАЕН,Тухла,36500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h159490819650202&slink=5p50jo&f1=1,29,1,8,"град София, Редута",1992,"АТЕЛИЕ, ТАВАН",Тухла,33000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h159231307347201&slink=5p50jo&f1=1,29,1,1,"град София, Редута",1990,"АТЕЛИЕ, ТАВАН",ЕПК,35000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159471782058610&slink=5p50ju&f1=1,30,2,5,"град София, Малинова долина",2022,1-СТАЕН,Тухла,28510
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159506853216066&slink=5p50ju&f1=1,30,5,8,"град София, Студентски град",2017,1-СТАЕН,Тухла,44999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159531818259623&slink=5p50ju&f1=1,30,6,6,"град София, Гоце Делчев",2008,1-СТАЕН,Тухла,62000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159548502720155&slink=5p50ju&f1=1,30,1,9,"град София, Манастирски ливади",0,1-СТАЕН,Тухла,37500
