Id,Url,Size,YardSize,Floor,TotalFloors,District,Year,Type,BuildingType,Price
5484,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b166911580741221&slink=96idzo&f1=5,68,0,5,6,"град София, Малинова долина",2025,2-СТАЕН,Тухла,87322
5485,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b168199521018504&slink=96idzo&f1=5,68,0,3,7,"град София, Малинова долина",2024,2-СТАЕН,Тухла,88500
5486,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b168060767514862&slink=96idzo&f1=5,68,0,3,4,"град София, Малинова долина",2023,2-СТАЕН,Тухла,92200
5487,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167967210870672&slink=96idzo&f1=5,68,0,2,4,"град София, Малинова долина",2025,2-СТАЕН,Тухла,92228
5488,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167967212628539&slink=96idzo&f1=5,68,0,3,4,"град София, Малинова долина",2025,2-СТАЕН,Тухла,92228
5489,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167794035342982&slink=96idzo&f1=5,68,0,5,6,"град София, Малинова долина",2024,2-СТАЕН,Тухла,93900
5490,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167515893455832&slink=96idzo&f1=5,68,0,3,5,"град София, Малинова долина",2023,2-СТАЕН,Тухла,94000
5491,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167515924063475&slink=96idzo&f1=5,68,0,4,5,"град София, Малинова долина",2023,2-СТАЕН,Тухла,94000
5492,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167722498507111&slink=96idzo&f1=5,68,0,1,6,"град София, Малинова долина",2024,2-СТАЕН,Тухла,94047
5493,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167422737372952&slink=96idzo&f1=5,68,0,4,6,"град София, Малинова долина",2023,2-СТАЕН,Тухла,94799
5494,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b166315425997966&slink=96idzo&f1=5,68,0,2,4,"град София, Малинова долина",0,2-СТАЕН,Тухла,94848
5495,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b168052892176198&slink=96idzo&f1=5,68,0,2,4,"град София, Малинова долина",2023,2-СТАЕН,Тухла,95200
5496,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b166202117897276&slink=96idzo&f1=5,68,0,1,4,"град София, Малинова долина",2024,2-СТАЕН,Тухла,97754
5497,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167507637916004&slink=96idzo&f1=5,68,0,0,0,"град София, Малинова долина",2023,2-СТАЕН,Тухла,99000
5498,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167517061028246&slink=96idzo&f1=5,68,0,5,6,"град София, Малинова долина",2024,2-СТАЕН,Тухла,102000
5499,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167516823678608&slink=96idzo&f1=5,68,0,5,6,"град София, Малинова долина",2024,2-СТАЕН,Тухла,103000
5500,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b164950327377153&slink=96idzo&f1=5,68,0,1,4,"град София, Малинова долина",2024,2-СТАЕН,Тухла,104597
5501,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b168007779678378&slink=96idzo&f1=5,68,0,3,6,"град София, Малинова долина",2023,2-СТАЕН,Тухла,108000
5502,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b165599290072473&slink=96idzo&f1=5,68,0,2,6,"град София, Малинова долина",2022,2-СТАЕН,Тухла,108400
5503,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b166634259664008&slink=96idzo&f1=5,68,0,2,4,"град София, Малинова долина",2022,2-СТАЕН,Тухла,110000
5504,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167387252199639&slink=96idzo&f1=5,68,0,2,4,"град София, Малинова долина",2023,2-СТАЕН,Тухла,110000
5505,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b168018663523888&slink=96idzo&f1=5,68,0,3,4,"град София, Малинова долина",2023,2-СТАЕН,Тухла,115000
5506,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b163722127987019&slink=96idzo&f1=5,68,0,5,8,"град София, Малинова долина",2021,2-СТАЕН,Тухла,125800
5507,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b163535265280219&slink=96idzo&f1=5,68,0,1,4,"град София, Манастирски ливади",2023,2-СТАЕН,Тухла,100848
5508,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b144137239454656&slink=96idzo&f1=5,68,0,3,5,"град София, Манастирски ливади",2022,2-СТАЕН,Тухла,107600
5509,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167473735599294&slink=96idzo&f1=5,68,0,3,6,"град София, Манастирски ливади",0,2-СТАЕН,Тухла,107700
5510,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b165124155955564&slink=96idzo&f1=5,68,0,2,6,"град София, Манастирски ливади",2022,2-СТАЕН,Тухла,109990
5511,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b166912532490506&slink=96idzo&f1=6,68,0,4,6,"град София, Манастирски ливади",2017,2-СТАЕН,Тухла,119000
5512,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b166936968094545&slink=96idzo&f1=6,68,0,5,6,"град София, Манастирски ливади",2022,2-СТАЕН,Тухла,119270
5513,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167991966899002&slink=96idzo&f1=6,68,0,3,6,"град София, Манастирски ливади",2023,2-СТАЕН,Тухла,122500
5514,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167342026291693&slink=96idzo&f1=6,68,0,2,5,"град София, Манастирски ливади",2023,2-СТАЕН,Тухла,139900
5515,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167810890854383&slink=96idzo&f1=6,68,0,4,8,"град София, Манастирски ливади",2022,2-СТАЕН,Тухла,160000
5516,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b168106337052892&slink=96idzo&f1=6,68,0,4,10,"град София, Медицинска академия",2003,2-СТАЕН,Тухла,99990
5517,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167387737033098&slink=96idzo&f1=6,68,0,3,16,"град София, Младост 1",1970,2-СТАЕН,ЕПК,154900
5518,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b166681783422130&slink=96idzo&f1=6,68,0,12,16,"град София, Младост 1",0,2-СТАЕН,ЕПК,158000
5519,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b166208543745649&slink=96idzo&f1=6,68,0,6,8,"град София, Младост 1А",0,2-СТАЕН,Панел,125000
5520,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167095524103297&slink=96idzo&f1=6,68,0,0,0,"град София, Младост 1А",1989,2-СТАЕН,Панел,125000
5521,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167956597216696&slink=96idzo&f1=6,68,0,2,8,"град София, Младост 2",1978,2-СТАЕН,Панел,155000
5522,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167697733415700&slink=96idzo&f1=6,68,0,5,20,"град София, Младост 2",1980,2-СТАЕН,ЕПК,165000
5523,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b168111211502285&slink=96idzo&f1=6,68,0,8,8,"град София, Младост 3",0,2-СТАЕН,Тухла,119500
5524,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167274831361266&slink=96idzo&f1=6,68,0,1,9,"град София, Младост 4",2022,2-СТАЕН,Тухла,105600
5525,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b165667587214842&slink=96idzo&f1=6,68,0,6,10,"град София, Младост 4",2023,2-СТАЕН,Тухла,118120
5526,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b163886931168014&slink=96idzo&f1=6,68,0,6,9,"град София, Младост 4",2024,2-СТАЕН,Тухла,119680
5527,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b166124741640810&slink=96idzo&f1=6,68,0,8,10,"град София, Младост 4",0,2-СТАЕН,Тухла,130000
