Size,Floor,TotalFloors,District,Year,Type,BuildingType,Price
37,5,6,"град София, Студентски град",2019,1-СТАЕН,Тухла,84000
37,1,7,"град София, Люлин 6",1985,2-СТАЕН,Панел,49999
37,4,6,"град София, Студентски град",2019,"АТЕЛИЕ, ТАВАН",Тухла,70000
38,4,5,"град София, Малинова долина",2024,1-СТАЕН,Тухла,64315
38,2,5,"град София, Студентски град",2022,1-СТАЕН,Тухла,66100
38,1,6,"град София, Лозенец",2024,1-СТАЕН,Тухла,119500
38,1,6,"град София, Манастирски ливади",2007,2-СТАЕН,Тухла,86000
38,10,13,"град София, Витоша",2019,1-СТАЕН,Тухла,63000
38,2,8,"град София, Връбница 1",2023,1-СТАЕН,Тухла,53000
38,5,9,"град София, Дружба 2",2010,1-СТАЕН,Тухла,95000
38,5,8,"град София, Дружба 2",2010,1-СТАЕН,Тухла,95000
38,4,6,"град София, Дървеница",2023,1-СТАЕН,Тухла,74900
38,2,9,"град София, Дървеница",2021,1-СТАЕН,Тухла,85600
38,1,6,"град София, Лозенец",2024,1-СТАЕН,Тухла,99450
38,8,8,"град София, Люлин 1",1980,1-СТАЕН,ЕПК,70000
38,3,5,"град София, Малинова долина",2022,1-СТАЕН,Тухла,46350
38,1,4,"град София, Малинова долина",2021,1-СТАЕН,Тухла,53293
38,3,6,"град София, Малинова долина",2025,1-СТАЕН,Тухла,56000
38,1,6,"град София, Малинова долина",2026,1-СТАЕН,Тухла,57365
38,5,6,"град София, Малинова долина",2026,1-СТАЕН,Тухла,57542
38,2,5,"град София, Малинова долина",2023,1-СТАЕН,Тухла,65300
38,2,5,"град София, Малинова долина",2022,1-СТАЕН,Тухла,65300
38,1,4,"град София, Малинова долина",2023,1-СТАЕН,Тухла,65305
38,2,5,"град София, Малинова долина",2023,1-СТАЕН,Тухла,65668
38,1,6,"град София, Манастирски ливади",2007,1-СТАЕН,Тухла,86000
38,1,5,"град София, Надежда 3",2012,1-СТАЕН,Тухла,45600
38,3,5,"град София, Студентски град",2022,1-СТАЕН,Тухла,46350
38,4,6,"град София, Студентски град",2021,1-СТАЕН,Тухла,55000
38,4,6,"град София, Студентски град",2021,1-СТАЕН,Тухла,55000
38,10,13,"град София, Студентски град",2019,1-СТАЕН,Тухла,63000
38,5,13,"град София, Студентски град",2018,1-СТАЕН,Тухла,64000
38,2,5,"град София, Студентски град",2022,1-СТАЕН,Тухла,65300
38,4,6,"град София, Студентски град",2023,1-СТАЕН,Тухла,74900
38,16,19,"град София, Младост 2",1985,2-СТАЕН,ЕПК,85000
38,1,6,"град София, Лозенец",2024,"АТЕЛИЕ, ТАВАН",Тухла,119500
39,9,10,"град София, Света Троица",2010,1-СТАЕН,Тухла,91000
39,9,10,"град София, Център",2010,1-СТАЕН,Тухла,91000
39,6,7,"град София, Банишора",1969,1-СТАЕН,Тухла,88000
39,6,6,"град София, Малинова долина",2026,1-СТАЕН,Тухла,54824
39,1,6,"град София, Малинова долина",2025,1-СТАЕН,Тухла,56995
39,3,6,"град София, Малинова долина",2025,1-СТАЕН,Тухла,57143
39,1,6,"град София, Малинова долина",2026,1-СТАЕН,Тухла,59796
39,4,6,"град София, Малинова долина",2025,1-СТАЕН,Тухла,59842
39,6,6,"град София, Малинова долина",2024,1-СТАЕН,Тухла,62200
39,2,9,"град София, Овча купел",2024,1-СТАЕН,Тухла,58000
39,1,9,"град София, Подуяне",2024,1-СТАЕН,Тухла,65600
39,5,5,"град София, Студентски град",2016,1-СТАЕН,Тухла,79900
39,12,18,"град София, Банишора",1983,2-СТАЕН,ЕПК,60000
39,2,5,"град София, Витоша",2020,2-СТАЕН,Тухла,78816
39,2,5,"град София, Дианабад",2020,2-СТАЕН,Тухла,78816
40,10,11,"град София, Дружба 1",1985,1-СТАЕН,ЕПК,62000
40,6,8,"град София, Красна поляна 2",1984,1-СТАЕН,Панел,70000
40,2,4,"град София, Манастирски ливади",2014,1-СТАЕН,Тухла,79900
40,1,4,"град София, Толстой",1950,2-СТАЕН,Гредоред,53900
40,1,5,"град София, Кръстова вада",2024,"АТЕЛИЕ, ТАВАН",Тухла,70610
40,1,4,"град София, Витоша",2022,1-СТАЕН,Тухла,76000
40,1,6,"град София, Малинова долина",2023,1-СТАЕН,Тухла,62900
40,1,4,"град София, Манастирски ливади",2022,1-СТАЕН,Тухла,79900
40,6,6,"град София, Надежда 2",2021,1-СТАЕН,Тухла,69900
40,1,4,"град София, Оборище",2000,1-СТАЕН,Тухла,102000
40,9,10,"град София, Овча купел",2022,1-СТАЕН,Тухла,71900
40,1,16,"град София, Банишора",2021,2-СТАЕН,ЕПК,54990
40,6,14,"град София, Банишора",2020,2-СТАЕН,ЕПК,79900
40,7,9,"град София, Банишора",2024,1-СТАЕН,Тухла,74400
40,5,5,"град София, Борово",1970,1-СТАЕН,Тухла,79000
40,5,5,"град София, Борово",1975,1-СТАЕН,Тухла,79000
40,5,5,"град София, Борово",1980,1-СТАЕН,Тухла,79000
40,5,5,"град София, Борово",1960,1-СТАЕН,Тухла,83000
40,2,4,"град София, Витоша",2022,1-СТАЕН,Тухла,76000
40,10,12,"град София, Гевгелийски",1986,1-СТАЕН,ЕПК,89999
40,4,7,"град София, Дианабад",2022,1-СТАЕН,Тухла,68000
40,8,8,"град София, Захарна фабрика",1967,1-СТАЕН,ЕПК,85000
40,8,8,"град София, Захарна фабрика",1967,1-СТАЕН,Тухла,85000
40,4,7,"град София, Зона Б-18",2005,1-СТАЕН,Тухла,101000
40,2,8,"град София, Илинден",1977,1-СТАЕН,Панел,79990
40,5,5,"град София, Красно село",1975,1-СТАЕН,Тухла,79000
40,1,10,"град София, Кръстова вада",2023,1-СТАЕН,Тухла,72150
40,1,6,"град София, Левски",2023,1-СТАЕН,Тухла,65000
40,4,5,"град София, Левски",2023,1-СТАЕН,Тухла,66000
40,1,7,"град София, Лозенец",2005,1-СТАЕН,Тухла,104000
40,1,7,"град София, Люлин 1",1994,1-СТАЕН,Тухла,46000
40,5,8,"град София, Люлин 1",1980,1-СТАЕН,Панел,50000
40,1,16,"град София, Люлин 2",2023,1-СТАЕН,Тухла,55000
40,2,6,"град София, Малинова долина",2022,1-СТАЕН,Тухла,50400
40,3,5,"град София, Малинова долина",2023,1-СТАЕН,Тухла,55846
40,3,6,"град София, Малинова долина",2024,1-СТАЕН,Тухла,56000
