Id,Url,Size,Floor,TotalFloors,District,Year,Type,BuildingType,Price
94,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a151980692511317&slink=4orkll&f1=1,32,8,8,"град София, Младост 3",2017,1-СТАЕН,Панел,29980
95,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156223665411141&slink=4orkll&f1=1,32,2,4,"град София, Малинова долина",2021,1-СТАЕН,Тухла,29311
96,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155096701547739&slink=4orkll&f1=1,32,0,0,"град София, Сухата река",0,1-СТАЕН,Тухла,39252
97,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155802926461152&slink=4orkll&f1=1,32,2,6,"град София, Люлин 9",2009,1-СТАЕН,Тухла,38500
98,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155821495755211&slink=4orkll&f1=1,32,6,16,"град София, Люлин 4",0,1-СТАЕН,ЕПК,46500
99,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a131849881617186&slink=4orkll&f1=1,32,4,12,"град София, Люлин 4",0,1-СТАЕН,ЕПК,35000
100,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155126621594664&slink=4orkll&f1=1,32,9,9,"град София, Люлин 2",2021,1-СТАЕН,Тухла,21929
101,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156223893011590&slink=4orkll&f1=1,32,4,5,"град София, Дружба 2",2012,1-СТАЕН,Тухла,19990
102,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a154820210379976&slink=4orkll&f1=1,32,0,0,"град София, Горубляне",0,1-СТАЕН,Панел,41000
103,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155983806135109&slink=4orkll&f1=1,32,0,0,"град София, Студентски град",0,1-СТАЕН,Тухла,37030
104,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a154685500563941&slink=4orkll&f1=1,32,2,14,"град София, Люлин 7",1992,1-СТАЕН,ЕПК,42000
105,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b152592501181920&slink=4orkll&f1=1,32,0,0,"град София, Сухата река",0,2-СТАЕН,Тухла,0
106,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a155922280284112&slink=4orklq&f1=1,33,2,4,"град София, Дружба 2",2011,1-СТАЕН,Тухла,18700
107,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b149026240531730&slink=4orklq&f1=1,33,5,5,"град София, Център",0,2-СТАЕН,Тухла,72000
108,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a149718576773145&slink=4orklq&f1=1,33,6,6,"град София, Център",0,1-СТАЕН,Тухла,72000
109,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a154263190709725&slink=4orklq&f1=1,33,0,0,"град София, Център",2006,1-СТАЕН,Тухла,45000
