Size,Floor,TotalFloors,District,Year,Type,BuildingType,Price
39,2,8,"град София, Красна поляна 3",1972,1-СТАЕН,Панел,45900
39,7,12,"град София, Витоша",2018,1-СТАЕН,Тухла,41500
39,7,13,"град София, Витоша",2019,1-СТАЕН,Тухла,41000
39,6,6,"град София, Борово",2000,1-СТАЕН,Тухла,51300
39,7,13,"град София, Студентски град",2019,1-СТАЕН,Тухла,39999
39,6,6,"град София, Малинова долина",2020,1-СТАЕН,Тухла,32000
39,11,13,"град София, Люлин 7",1985,1-СТАЕН,ЕПК,41000
39,4,5,"град София, Кръстова вада",2019,1-СТАЕН,Тухла,43200
39,4,6,"град София, Кръстова вада",2019,1-СТАЕН,Тухла,42000
40,9,15,"град София, Център",1985,1-СТАЕН,ЕПК,44999
40,7,8,"град София, Хаджи Димитър",2018,1-СТАЕН,Тухла,58000
40,7,8,"град София, Хаджи Димитър",2018,1-СТАЕН,Тухла,58000
40,7,8,"град София, Хаджи Димитър",2019,1-СТАЕН,Тухла,58000
40,7,8,"град София, Хаджи Димитър",2018,1-СТАЕН,Тухла,58000
40,7,8,"град София, Хаджи Димитър",2019,1-СТАЕН,Тухла,58000
40,1,8,"град София, Сухата река",2020,1-СТАЕН,Тухла,30000
40,3,9,"град София, Студентски град",2018,1-СТАЕН,Тухла,56000
40,2,6,"град София, Студентски град",2018,1-СТАЕН,Тухла,47000
40,7,14,"град София, Студентски град",2018,1-СТАЕН,ЕПК,43800
40,12,17,"град София, Студентски град",2018,1-СТАЕН,Тухла,43000
40,7,13,"град София, Банишора",2018,2-СТАЕН,ЕПК,45000
40,6,14,"град София, Банишора",1980,2-СТАЕН,ЕПК,45000
40,5,15,"град София, Банишора",1986,2-СТАЕН,ЕПК,45000
40,4,18,"град София, Банишора",1980,2-СТАЕН,ЕПК,45000
40,1,4,"град София, Център",1965,2-СТАЕН,Тухла,120000
40,4,16,"град София, Център",2018,2-СТАЕН,ЕПК,45000
40,15,16,"град София, Студентски град",2019,1-СТАЕН,Тухла,40000
40,2,4,"град София, Захарна фабрика",1970,2-СТАЕН,Тухла,39900
40,2,4,"град София, Захарна фабрика",1970,2-СТАЕН,Тухла,39900
