Url,Size,YardSize,Floor,TotalFloors,District,Year,Type,BuildingType,Price
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j155731150825655&slink=60chl3&f1=1,60,1000,0,0,"град София, с. Панчарево",1967,КЪЩА,Тухла,120000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j160266752840209&slink=60chl3&f1=1,60,300,0,0,"град София, Факултета",0,КЪЩА,Тухла,80000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j157408511342187&slink=60chl3&f1=1,60,253,0,0,"град София, Център",0,КЪЩА,Гредоред,108000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159715062777699&slink=60chl8&f1=1,62,0,1,1,"град София, Сухата река",0,КЪЩА,Гредоред,50000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j157312554631662&slink=60chl8&f1=1,62,650,0,0,"град София, в.з.Горна баня",1997,КЪЩА,Тухла,90000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j157312559239699&slink=60chl8&f1=1,62,650,1,3,"град София, в.з.Люлин",1997,КЪЩА,Тухла,90000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j157312540493606&slink=60chl8&f1=1,62,650,0,0,"град София, Горна баня",1997,КЪЩА,Тухла,90000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159656568332285&slink=60chl8&f1=1,62,502,1,1,"град София, гр. Нови Искър",0,КЪЩА,Тухла,0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159715072292968&slink=60chl8&f1=1,62,0,0,0,"град София, Подуяне",0,КЪЩА,Гредоред,50000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j157425918190478&slink=60chlc&f1=1,65,781,0,0,"град София, Драгалевци",0,КЪЩА,Тухла,180000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159705108626475&slink=60chlc&f1=1,65,416,0,0,"град София, Орландовци",0,КЪЩА,Тухла,47000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j158772351560052&slink=60chlc&f1=1,65,330,0,0,"град София, Орландовци",0,КЪЩА,Тухла,47990
